Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2004-01-12,359.5263977050781,382.653810409959,356.8660945787234,376.8183287429089,2832076
2004-01-13,363.3022155761719,367.2926562532777,349.01384995738545,360.42737295882387,4974616
2004-01-14,372.61334228515625,375.7885207857125,364.71825430461604,364.71825430461604,3261830
2004-01-15,369.9530029296875,390.16267256461265,366.7777985513813,390.16267256461265,5989636
2004-01-16,344.2510681152344,377.590607691221,340.6897073941244,373.1281627610967,6106161
2004-01-19,364.2033386230469,369.7384847440272,335.9698612665414,345.0663684952071,7850768
2004-01-20,348.0269775390625,370.2104315259124,343.3070948264978,367.9792090058131,7225533
2004-01-21,327.5599365234375,355.1926942413814,321.8102495885284,348.4132302211801,6790202
2004-01-22,318.7208557128906,342.7493535767012,314.60169512611685,325.2428817994361,7530811
2004-01-23,356.5228271484375,360.4274473524964,321.381140555976,323.5265420283123,9635197
2004-01-26,356.5228271484375,356.5228271484375,356.5228271484375,356.5228271484375,0
2004-01-27,370.1675109863281,375.7026301102613,292.71853128584115,364.46074929882474,7134689
2004-01-28,359.3117980957031,376.5608025354065,354.935174475145,374.93030288550653,9705337
2004-01-29,372.27008056640625,378.8779280660283,355.57887158923256,360.4274740378978,10131822
2004-01-30,370.51092529296875,381.62411812535413,343.3501412186127,343.3501412186127,8149375
2004-02-02,370.51092529296875,370.51092529296875,370.51092529296875,370.51092529296875,0
2004-02-03,348.79937744140625,379.30697551701184,343.7362090794728,374.1151144951434,7114870
2004-02-04,379.7789306640625,382.7395949571485,351.8458159919975,351.8458159919975,8958172
2004-02-05,372.0125732421875,388.7467028343966,366.4345300447845,378.44877693149874,9798958
2004-02-06,385.01373291015625,386.7729777848145,372.22714570751026,376.3034083982553,6807818
2004-02-09,399.6024475097656,403.24962978009125,381.8814377164502,381.8814377164502,6506722
2004-02-10,395.31158447265625,402.47722907674336,387.97432350132567,399.98856914540755,6839293
2004-02-11,406.639404296875,408.3557254915952,395.6120353830012,397.41417787525404,5367067
2004-02-12,412.4748840332031,415.1780846649658,404.19363954361984,406.8110188782348,6110771
2004-02-13,424.18878173828125,429.766825738666,407.3688546267695,413.20433633619393,6094853
2004-02-16,445.771484375,448.7321485900337,423.50220881578167,426.5057705804326,9885540
2004-02-17,438.4771423339844,444.44136861624264,430.7965949562827,443.6690031721079,9302625
2004-02-18,444.69879150390625,449.5903169387061,440.23634632868595,441.309046977635,6772064
2004-02-19,429.08026123046875,444.6558956643194,426.63449850365896,444.52715063476563,8116787
2004-02-20,439.764404296875,445.81442597356994,418.3532871263048,423.93133095465555,12516219
2004-02-23,424.6607971191406,447.8740580995623,421.4855922816979,446.1147868885954,8584140
2004-02-24,429.9384460449219,433.6285260244051,416.6798547481832,423.84550075339496,13355180
2004-02-25,418.8251953125,430.75364646643754,415.43547726323374,430.7107227307384,8753414
2004-02-26,425.30438232421875,432.94200613418093,419.21143705955876,422.81572191723996,7344301
2004-02-27,429.1231689453125,504.59839915906844,420.7990273936623,504.59839915906844,8059826
2004-03-01,441.56646728515625,442.81081046457297,430.9252825040361,430.9252825040361,6091013
2004-03-02,441.56646728515625,441.56646728515625,441.56646728515625,441.56646728515625,0
2004-03-03,454.2243347167969,456.24104328546196,440.7512046124113,443.6689712156905,7811331
2004-03-04,447.4449462890625,458.6010338022815,443.71191634824487,455.6832668860998,6959165
2004-03-05,454.3960266113281,456.2839903608492,447.95982226839146,448.0885673064362,4740249
2004-03-08,450.40557861328125,458.12902416168595,448.8608999791938,455.85492995476943,4088518
2004-03-09,443.32574462890625,452.85135870752305,369.8672182830429,369.8672182830429,4955913
2004-03-10,436.975341796875,443.2399030389682,403.42126064654525,440.6654215111523,5672162
2004-03-11,433.5856628417969,438.43426521420514,430.7966407651302,432.5129620430789,5651181
2004-03-12,435.1303405761719,437.5761036297611,421.4426941274963,430.62499723129116,5903578
2004-03-15,415.1781005859375,442.3818029190146,405.05181566978644,438.52008010012895,5652422
2004-03-16,410.28656005859375,419.64050472154355,401.70495464506524,407.5404358506721,6944864
2004-03-17,414.8348083496094,418.3532718739352,408.65606804762956,411.9599652435511,4505236
2004-03-18,412.3890380859375,418.7823446010335,409.42839992868375,417.9241840588183,4838602
2004-03-19,404.8372802734375,416.20790870719065,400.7181196937848,412.1316456837697,6065423
2004-03-22,380.422607421875,409.7717122626695,377.7623303458078,402.47734670406703,4941516
2004-03-23,385.056640625,393.38078205992707,374.71579051602333,381.7956148947454,5931683
